pdb_id,split,cluster_id,n_residues,n_contacts,contact_rate
1A4Q,train,429.0,780,2,0.002564102564102564
1ACA,val,58.0,1720,267,0.15523255813953488
1ACL,train,531.0,527,1,0.0018975332068311196
1AIJ,train,394.0,1654,3,0.0018137847642079807
1AL2,test,676.0,851,4,0.004700352526439483
1AR1,test,83.0,1007,3,0.0029791459781529296
1AR6,test,676.0,851,4,0.004700352526439483
1AR7,test,676.0,851,5,0.005875440658049354
1AR8,test,676.0,854,3,0.00351288056206089
1AR9,test,676.0,851,4,0.004700352526439483
1ASJ,test,676.0,851,6,0.007050528789659225
1AUA,test,662.0,296,5,0.016891891891891893
1AYM,test,676.0,804,1,0.0012437810945273632
1AYN,test,676.0,804,1,0.0012437810945273632
1B4W,train,443.0,488,2,0.004098360655737705
1BCC,train,463.0,1967,2,0.0010167768174885613
1BE2,test,775.0,910,201,0.22087912087912087
1BEV,test,676.0,794,2,0.0025188916876574307
1BH3,val,729.0,289,2,0.006920415224913495
1BJ5,val,601.0,582,3,0.005154639175257732
1BKE,val,601.0,581,2,0.0034423407917383822
1BM1,train,106.0,221,2,0.00904977375565611
1BP1,train,348.0,456,5,0.010964912280701754
1C1J,train,443.0,488,4,0.00819672131147541
1C4O,val,57.0,504,1,0.001984126984126984
1CDK,train,161.0,724,1,0.0013812154696132596
1CMK,train,161.0,368,4,0.010869565217391304
1COV,test,676.0,818,1,0.0012224938875305623
1CTP,train,161.0,349,1,0.0028653295128939827
1CVU,train,334.0,1113,4,0.0035938903863432167
1CWQ,train,106.0,476,2,0.004201680672268907
1D2M,val,57.0,552,1,0.0018115942028985507
1D4M,test,676.0,835,1,0.0011976047904191617
1DAN,train,8.0,577,1,0.0017331022530329288
1DDX,train,334.0,2208,1,0.0004528985507246377
1DIY,train,334.0,553,5,0.009041591320072333
1DKF,train,51.0,449,3,0.0066815144766146995
1DS8,train,394.0,1652,4,0.002421307506053269
1DV3,train,394.0,1652,1,0.0006053268765133172
1DV6,train,394.0,1652,4,0.002421307506053269
1DXR,val,708.0,1185,4,0.0033755274261603376
1E12,train,488.0,239,1,0.0041841004184100415
1E14,train,394.0,825,7,0.008484848484848486
1E7C,val,601.0,582,4,0.006872852233676976
1E7G,val,601.0,582,4,0.006872852233676976
1E7H,val,601.0,581,7,0.012048192771084338
1E7I,val,601.0,582,6,0.010309278350515464
1E7P,test,492.0,4592,4,0.0008710801393728223
1EAH,test,676.0,837,1,0.0011947431302270011
1ECZ,val,207.0,284,16,0.056338028169014086
1EE2,train,402.0,746,1,0.0013404825737265416
1EH5,test,49.0,279,2,0.007168458781362007
1EQG,train,334.0,1102,6,0.0054446460980036296
1EQH,train,334.0,1102,8,0.007259528130671506
1ETH,train,737.0,1070,14,0.013084112149532711
1EV1,test,676.0,835,1,0.0011976047904191617
1EWF,train,348.0,456,9,0.019736842105263157
1EYS,train,394.0,1146,6,0.005235602094240838
1FE2,train,334.0,553,6,0.0108499095840868
1FK2,test,775.0,93,1,0.010752688172043012
1FK4,test,775.0,93,1,0.010752688172043012
1FK5,test,775.0,93,2,0.021505376344086023
1FNP,train,394.0,822,3,0.0036496350364963502
1FX8,train,678.0,254,1,0.003937007874015748
1GNI,val,601.0,582,9,0.015463917525773196
1GSZ,train,611.0,1860,1,0.0005376344086021505
1GT6,train,69.0,538,4,0.007434944237918215
1GZM,train,365.0,658,10,0.015197568389057751
1H0J,train,582.0,180,8,0.044444444444444446
1H35,train,611.0,1860,2,0.001075268817204301
1H36,train,611.0,1860,1,0.0005376344086021505
1H37,train,611.0,1860,2,0.001075268817204301
1H39,train,611.0,1860,2,0.001075268817204301
1H3A,train,611.0,1860,2,0.001075268817204301
1H3C,train,611.0,1860,4,0.002150537634408602
1H8T,test,676.0,842,1,0.0011876484560570072
1H9G,val,689.0,223,1,0.004484304932735426
1H9Z,val,601.0,583,5,0.008576329331046312
1HA2,val,601.0,583,6,0.010291595197255575
1HK4,val,601.0,582,5,0.00859106529209622
1HK5,val,601.0,582,7,0.012027491408934709
1HRK,train,704.0,718,3,0.004178272980501393
1HT5,train,334.0,1102,7,0.006352087114337568
1HT8,train,334.0,1102,9,0.008166969147005444
1HXS,test,676.0,858,1,0.0011655011655011655
1HXX,train,155.0,340,1,0.0029411764705882353
1HZX,train,365.0,641,4,0.0062402496099844
1I78,train,728.0,584,1,0.0017123287671232876
1IGX,train,334.0,553,9,0.0162748643761302
1IGZ,train,334.0,553,5,0.009041591320072333
1IKU,train,779.0,4136,204,0.04932301740812379
1ILD,train,375.0,257,5,0.019455252918287938
1ILZ,train,375.0,257,3,0.011673151750972763
1IM0,train,375.0,262,2,0.007633587786259542
1IZO,train,121.0,1233,4,0.0032441200324412004
1J78,train,810.0,880,2,0.0022727272727272726
1J7E,train,810.0,882,3,0.003401360544217687
1JB0,val,596.0,2243,8,0.0035666518056174765
1JGW,train,394.0,819,5,0.006105006105006105
1JGY,train,394.0,823,1,0.001215066828675577
1JGZ,train,394.0,819,2,0.002442002442002442
1JMU,val,315.0,3018,9,0.002982107355864811
1JSA,train,779.0,4512,56,0.012411347517730497
1JTB,test,775.0,1456,313,0.21497252747252749
1K4W,train,188.0,254,1,0.003937007874015748
1K6L,train,394.0,823,5,0.006075334143377886
1K6N,train,394.0,823,5,0.006075334143377886
1KB9,train,463.0,2180,1,0.00045871559633027525
1KBY,train,394.0,819,4,0.004884004884004884
1KMO,val,134.0,661,3,0.0045385779122541605
1KMP,val,134.0,647,6,0.00927357032457496
1KQF,val,776.0,1487,4,0.0026899798251513113
1KQG,val,776.0,1487,4,0.0026899798251513113
1L7Z,test,208.0,148,1,0.006756756756756757
1L8J,val,430.0,170,1,0.0058823529411764705
1L9B,train,394.0,918,3,0.0032679738562091504
1L9H,train,365.0,641,3,0.0046801872074883
1L9J,train,394.0,1836,4,0.002178649237472767
1LA3,train,779.0,2632,150,0.056990881458966566
1LDA,train,678.0,254,1,0.003937007874015748
1LDF,train,678.0,254,1,0.003937007874015748
1LDI,train,678.0,254,1,0.003937007874015748
1LFO,train,162.0,126,3,0.023809523809523808
1LID,val,298.0,131,1,0.007633587786259542
1LIE,val,298.0,130,1,0.007692307692307693
1LK9,train,376.0,852,1,0.0011737089201877935
1LPA,train,737.0,534,3,0.0056179775280898875
1LPB,train,737.0,534,9,0.016853932584269662
1LQV,val,430.0,393,4,0.010178117048346057
1LRT,test,612.0,1346,1,0.0007429420505200594
1LV2,train,51.0,225,1,0.0044444444444444444
1M2Z,train,690.0,550,6,0.01090909090909091
1M3X,train,394.0,821,2,0.00243605359317905
1M66,test,117.0,346,1,0.002890173410404624
1M67,test,117.0,346,1,0.002890173410404624
1MAA,train,531.0,2157,6,0.0027816411682892906
1MDC,train,162.0,131,2,0.015267175572519083
1MGP,train,694.0,276,4,0.014492753623188406
1N5U,val,601.0,583,6,0.010291595197255575
1N6B,train,627.0,462,1,0.0021645021645021645
1NCR,test,676.0,804,1,0.0012437810945273632
1ND2,test,676.0,804,2,0.0024875621890547263
1NF8,train,454.0,207,1,0.004830917874396135
1NF9,train,454.0,207,1,0.004830917874396135
1NFP,train,777.0,228,2,0.008771929824561403
1NKZ,train,202.0,279,4,0.014336917562724014
1NL2,val,403.0,136,1,0.007352941176470588
1NN8,train,50.0,1756,1,0.0005694760820045558
1NQE,train,580.0,549,4,0.007285974499089253
1NQF,train,580.0,544,3,0.0055147058823529415
1NQG,train,580.0,576,8,0.013888888888888888
1NQH,train,580.0,584,5,0.008561643835616438
1NVL,val,58.0,1720,242,0.14069767441860465
1O6H,train,611.0,1860,1,0.0005376344086021505
1O6Q,train,611.0,1860,5,0.002688172043010753
1O6R,train,611.0,1860,4,0.002150537634408602
1O79,train,611.0,1860,1,0.0005376344086021505
1O8V,val,298.0,132,1,0.007575757575757576
1O9X,val,601.0,579,4,0.0069084628670120895
1OGV,train,394.0,820,3,0.003658536585365854
1OJD,val,431.0,4964,10,0.00201450443190975
1OKC,train,261.0,292,11,0.03767123287671233
1OKE,train,532.0,788,1,0.0012690355329949238
1OOP,test,676.0,819,2,0.002442002442002442
1OPJ,train,675.0,575,9,0.01565217391304348
1OPL,val,316.0,816,1,0.0012254901960784314
1OT1,train,118.0,686,2,0.0029154518950437317
1OT2,train,118.0,686,1,0.0014577259475218659
1P42,train,475.0,534,2,0.003745318352059925
1P84,train,463.0,2180,3,0.0013761467889908258
1PCR,train,394.0,823,1,0.001215066828675577
1PEZ,train,118.0,686,1,0.0014577259475218659
1PGE,train,334.0,1102,6,0.0054446460980036296
1PIV,test,676.0,846,1,0.001182033096926714
1PMP,val,298.0,393,2,0.005089058524173028
1PO1,test,676.0,853,1,0.0011723329425556857
1PO2,test,676.0,853,1,0.0011723329425556857
1POV,val,209.0,773,3,0.0038809831824062097
1PP9,train,463.0,4032,29,0.007192460317460317
